id,durata_ticket,level,modello_macchina,durata,tipo_problema
1,107,1,NIDEK LEX-920,0,elettronico
2,82,2,NIDEK NT-800,14,software
3,76,2,NIDEK RT-800,46,rottura
4,93,2,NIDEK SC-2000,33,software
5,8,1,NIDEK LT-3000,0,logoramento
6,81,1,NIDEK AR-750,0,logoramento
7,66,1,NIDEK LM-770,0,software
8,33,2,NIDEK SE-1050,40,difetto di fabbrica
9,93,2,NIDEK PM-910,34,rottura
10,87,2,NIDEK NT-5500,36,rottura
11,60,2,NIDEK SC-2000,49,software
12,57,2,NIDEK LEX-500,42,software
13,75,2,NIDEK OPD-1050,25,difetto di fabbrica
14,83,2,NIDEK NT-120,29,software
15,115,2,NIDEK TS-920,33,elettronico
16,62,1,NIDEK RT-3000,0,rottura
17,39,1,NIDEK LE-1050,0,logoramento
18,56,2,NIDEK TS-750,34,logoramento
19,102,2,NIDEK SC-3000,44,rottura
20,26,2,NIDEK LE-2500,22,software
21,86,1,NIDEK SL-500,0,rottura
22,61,1,NIDEK PM-920,0,software
23,90,1,NIDEK ICE-2000,0,rottura
24,70,1,NIDEK SE-1050,0,logoramento
25,25,2,NIDEK TS-750,26,software
26,101,2,NIDEK ME-1050,51,rottura
27,122,2,NIDEK LE-2500,0,difetto di fabbrica
28,41,2,NIDEK LFU-400,41,software
29,91,1,NIDEK LM-2000,0,software
30,105,2,NIDEK OPD-320,18,elettronico
31,62,1,NIDEK PM-910,0,rottura
32,73,1,NIDEK AR-800,0,difetto di fabbrica
33,91,2,NIDEK SL-910,47,elettronico
34,101,1,NIDEK LE-320,0,elettronico
35,126,2,NIDEK OPD-750,52,difetto di fabbrica
36,63,1,NIDEK NT-920,0,logoramento
37,89,2,NIDEK LE-1050,32,elettronico
38,78,1,NIDEK NT-800,0,rottura
39,73,1,NIDEK LEX-920,0,software
40,103,2,NIDEK LE-320,44,elettronico
41,36,1,NIDEK ME-1050,0,difetto di fabbrica
42,102,1,NIDEK LFU-500,0,rottura
43,82,2,NIDEK ME-920,35,elettronico
44,55,1,NIDEK LEX-400,0,rottura
45,73,2,NIDEK RT-1050,23,software
46,92,1,NIDEK LE-920,0,elettronico
47,68,2,NIDEK PM-770,40,rottura
48,49,1,NIDEK LE-400,0,elettronico
49,128,2,NIDEK PM-910,26,logoramento
50,65,1,NIDEK LFU-520,0,software
51,57,1,NIDEK LFU-320,0,elettronico
52,106,1,NIDEK LT-1050,0,software
53,70,2,NIDEK LEX-500,25,logoramento
54,79,2,NIDEK ME-5500,41,elettronico
55,102,1,NIDEK SC-120,0,software
56,72,1,NIDEK LE-500,0,rottura
57,147,2,NIDEK LFU-800,45,difetto di fabbrica
58,122,1,NIDEK TS-120,0,logoramento
59,119,2,NIDEK TS-120,72,rottura
60,110,2,NIDEK NT-770,34,difetto di fabbrica
61,87,1,NIDEK SC-2000,0,logoramento
62,94,1,NIDEK ICE-320,0,difetto di fabbrica
63,71,2,NIDEK SE-400,41,elettronico
64,83,1,NIDEK AR-770,0,rottura
65,89,2,NIDEK LEX-400,34,software
66,93,1,NIDEK LEX-750,0,difetto di fabbrica
67,114,2,NIDEK SC-120,55,software
68,47,1,NIDEK LFU-770,0,software
69,91,2,NIDEK LFU-5500,16,elettronico
70,115,1,NIDEK LM-770,0,elettronico
71,77,2,NIDEK SC-5500,32,elettronico
72,72,1,NIDEK AR-320,0,rottura
73,94,1,NIDEK SC-2000,0,elettronico
74,96,1,NIDEK SL-3000,0,elettronico
75,53,2,NIDEK LM-1050,28,elettronico
76,103,2,NIDEK NT-750,47,logoramento
77,43,2,NIDEK LT-5500,37,software
78,79,2,NIDEK SL-5500,31,difetto di fabbrica
79,84,1,NIDEK OPD-800,0,elettronico
80,104,2,NIDEK SE-3000,52,software
81,100,1,NIDEK ICE-2500,0,difetto di fabbrica
82,125,2,NIDEK LM-320,67,software
83,96,2,NIDEK ICE-750,36,elettronico
84,105,1,NIDEK ME-2000,0,logoramento
85,70,1,NIDEK RT-2000,0,logoramento
86,41,1,NIDEK TS-2000,0,software
87,90,1,NIDEK PM-1050,0,rottura
88,107,1,NIDEK OPD-400,0,rottura
89,100,2,NIDEK ME-320,45,rottura
90,114,1,NIDEK OPD-3000,0,software
91,53,1,NIDEK SC-120,0,rottura
92,81,2,NIDEK SC-5500,32,elettronico
93,100,1,NIDEK TS-910,0,difetto di fabbrica
94,93,2,NIDEK RT-750,56,rottura
95,104,1,NIDEK AR-520,0,elettronico
96,51,2,NIDEK SC-2500,37,logoramento
97,80,2,NIDEK SL-2500,60,difetto di fabbrica
98,19,1,NIDEK LEX-800,0,rottura
99,80,2,NIDEK LFU-3000,39,difetto di fabbrica
100,59,1,NIDEK SC-2000,0,software
101,69,1,NIDEK RT-920,0,elettronico
102,56,2,NIDEK LE-750,17,difetto di fabbrica
103,68,1,NIDEK AR-5500,0,difetto di fabbrica
104,57,1,NIDEK PM-910,0,difetto di fabbrica
105,72,1,NIDEK RT-5500,0,elettronico
106,127,2,NIDEK SE-520,58,elettronico
107,114,1,NIDEK NT-2500,0,difetto di fabbrica
108,81,1,NIDEK LFU-1050,0,software
109,96,1,NIDEK SC-1050,0,elettronico
110,54,2,NIDEK SL-320,43,rottura
111,78,2,NIDEK SE-3000,53,logoramento
112,88,2,NIDEK SE-5500,44,difetto di fabbrica
113,72,2,NIDEK PM-920,6,difetto di fabbrica
114,89,2,NIDEK LEX-800,37,difetto di fabbrica
115,83,2,NIDEK LFU-2500,46,elettronico
116,83,2,NIDEK LFU-500,26,elettronico
117,102,2,NIDEK AR-2000,19,elettronico
118,91,2,NIDEK LE-750,40,logoramento
119,50,1,NIDEK SC-400,0,difetto di fabbrica
120,71,2,NIDEK LT-3000,44,rottura
121,131,1,NIDEK ME-3000,0,logoramento
122,46,1,NIDEK NT-400,0,software
123,58,2,NIDEK LM-500,49,elettronico
124,64,1,NIDEK RT-1050,0,elettronico
125,104,2,NIDEK LEX-800,59,elettronico
126,79,1,NIDEK SE-920,0,software
127,46,2,NIDEK SC-400,14,difetto di fabbrica
128,134,1,NIDEK RT-5500,0,logoramento
129,71,2,NIDEK LE-400,19,rottura
130,79,1,NIDEK SL-920,0,elettronico
131,78,2,NIDEK RT-2500,53,logoramento
132,54,1,NIDEK LT-750,0,logoramento
133,59,2,NIDEK RT-120,58,logoramento
134,84,2,NIDEK ICE-920,25,elettronico
135,80,1,NIDEK TS-2000,0,software
136,49,2,NIDEK PM-400,35,rottura
137,47,2,NIDEK OPD-320,32,elettronico
138,36,2,NIDEK AR-3000,35,software
139,60,1,NIDEK LM-500,0,logoramento
140,108,1,NIDEK TS-2500,0,logoramento
141,142,1,NIDEK LT-800,0,elettronico
142,66,1,NIDEK SC-320,0,elettronico
143,85,1,NIDEK LEX-320,0,difetto di fabbrica
144,97,2,NIDEK ICE-500,31,difetto di fabbrica
145,78,1,NIDEK SC-1050,0,rottura
146,129,1,NIDEK LEX-910,0,difetto di fabbrica
147,93,2,NIDEK LE-5500,29,software
148,93,1,NIDEK LFU-400,0,elettronico
149,109,1,NIDEK SL-2500,0,rottura
150,111,1,NIDEK OPD-920,0,difetto di fabbrica
151,85,1,NIDEK SC-5500,0,rottura
152,78,1,NIDEK RT-2500,0,difetto di fabbrica
153,74,2,NIDEK AR-120,40,software
154,81,1,NIDEK OPD-2500,0,rottura
155,92,1,NIDEK LEX-2000,0,elettronico
156,87,2,NIDEK ME-910,44,software
157,105,2,NIDEK SL-920,18,rottura
158,69,1,NIDEK SL-500,0,rottura
159,92,1,NIDEK LM-120,0,software
160,92,2,NIDEK SC-120,74,elettronico
161,81,2,NIDEK AR-770,22,elettronico
162,78,2,NIDEK RT-2500,63,elettronico
163,51,2,NIDEK PM-2500,11,software
164,85,2,NIDEK LT-3000,44,difetto di fabbrica
165,65,2,NIDEK LT-120,42,software
166,77,2,NIDEK LFU-5500,39,rottura
167,97,1,NIDEK NT-5500,0,logoramento
168,89,1,NIDEK SL-5500,0,software
169,88,1,NIDEK LE-800,0,difetto di fabbrica
170,68,1,NIDEK LE-800,0,logoramento
171,43,2,NIDEK SL-500,59,logoramento
172,51,2,NIDEK NT-750,53,rottura
173,152,2,NIDEK SE-520,19,elettronico
174,69,1,NIDEK SC-520,0,logoramento
175,106,2,NIDEK LE-920,41,elettronico
176,102,1,NIDEK SE-5500,0,rottura
177,87,1,NIDEK LT-750,0,difetto di fabbrica
178,68,1,NIDEK LM-750,0,difetto di fabbrica
